                         CADASTRO DE PRODUTOS DA POF 2008-2009;;;;;;;;
;;;;;;;;
( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO );;;;;;;;
(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3) ;;;;;;;;
;;;;;;;;
;;;;;;;;
QUADRO;GRUPO;Quadro_2dig_txt;CÓDIGO;codigo_txt;Complete_item_code;PRODUTO;;
08;08;08;00801;00801;X0800801;TINTA;;
08;08;08;00802;00802;X0800802;VERNIZ;;
08;08;08;00901;00901;X0800901;MATERIAL DE PINTURA EM GERAL;;
08;08;08;00902;00902;X0800902;MASSA CORRIDA PARA PAREDE;;
08;08;08;00903;00903;X0800903;CAL;;
08;08;08;00904;00904;X0800904;CAL VIRGEM;;
08;08;08;00905;00905;X0800905;ROLO DE PINTURA;;
08;08;08;00906;00906;X0800906;LIXA DE MADEIRA;;
08;08;08;01001;01001;X0801001;TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL;;
08;08;08;01002;01002;X0801002;CANO;;
08;08;08;01003;01003;X0801003;MATERIAL HIDRAULICO;;
08;08;08;01101;01101;X0801101;FERRAGENS (FECHADURA, FERRO, ARAME, PREGO, ETC.);;
08;08;08;01102;01102;X0801102;FECHADURA;;
08;08;08;01103;01103;X0801103;FERRO;;
08;08;08;01104;01104;X0801104;ARAME;;
08;08;08;01105;01105;X0801105;PREGO;;
08;08;08;01106;01106;X0801106;CADEADO;;
08;08;08;01107;01107;X0801107;RALO DE ESGOTAMENTO DE AGUA;;
08;08;08;01108;01108;X0801108;TELA DE ARAME;;
08;08;08;01109;01109;X0801109;TRILHO METALICO;;
08;08;08;01110;01110;X0801110;ROLAMENTO PARA PORTA;;
08;08;08;01201;01201;X0801201;FIO E MATERIAL ELETRICO EM GERAL;;
08;08;08;01202;01202;X0801202;MATERIAL PARA INSTALACAO ELETRICA;;
08;08;08;01203;01203;X0801203;FIO PARA INSTALACAO ELETRICA;;
08;08;08;01204;01204;X0801204;FIO DE ANTENA;;
08;08;08;01301;01301;X0801301;MAO-DE-OBRA (PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.);;
08;08;08;01302;01302;X0801302;PEDREIRO;;
08;08;08;01303;01303;X0801303;MARCENEIRO;;
